shipping_id,order_id,shipping_date,return_date,shipping providers,delivery_status
1,7136,07-01-2024,,dhl,Delivered
2,1107,22-06-2023,,bluedart,Delivered
3,2787,01-01-2023,,fedex,Delivered
4,1033,25-11-2022,,fedex,Delivered
5,19241,13-09-2022,,fedex,Delivered
6,6035,11-07-2021,,fedex,Delivered
7,1069,29-04-2023,,fedex,Delivered
8,4499,07-03-2023,,fedex,Delivered
9,11560,12-11-2022,,fedex,Delivered
10,17500,22-01-2022,,fedex,Delivered
11,14043,16-10-2021,,fedex,Delivered
12,1761,12-09-2020,,fedex,Delivered
13,11416,10-03-2020,,fedex,Delivered
14,4461,26-01-2024,,fedex,Delivered
15,3291,29-09-2023,,fedex,Delivered
16,8262,07-04-2023,,fedex,Delivered
17,11768,30-07-2021,,fedex,Delivered
18,17468,15-08-2023,,fedex,Delivered
19,12838,04-07-2022,,fedex,Delivered
20,14299,08-04-2022,,fedex,Delivered
21,9270,26-01-2021,,fedex,Delivered
22,16246,01-11-2020,,fedex,Delivered
23,837,02-10-2020,,fedex,Delivered
24,4429,01-04-2023,,fedex,Delivered
25,11566,10-12-2021,,fedex,Delivered
26,3893,04-02-2024,,fedex,Delivered
27,6581,01-04-2022,,fedex,Delivered
28,17054,25-09-2020,,fedex,Delivered
29,13553,02-02-2020,,fedex,Delivered
30,7110,18-07-2023,,fedex,Delivered
31,19741,22-02-2023,,fedex,Delivered
32,4899,22-06-2022,,fedex,Delivered
33,11288,12-08-2020,,fedex,Delivered
34,16726,22-08-2023,,fedex,Delivered
35,3017,25-07-2022,,fedex,Delivered
36,4613,16-08-2020,,fedex,Delivered
37,6651,16-03-2022,,fedex,Delivered
38,1463,28-05-2021,,fedex,Delivered
39,2771,17-09-2020,,fedex,Delivered
40,4133,09-01-2024,,fedex,Delivered
41,15994,19-11-2023,,fedex,Delivered
42,2923,01-04-2023,,fedex,Delivered
43,10330,20-01-2021,,fedex,Delivered
44,15351,29-12-2020,,fedex,Delivered
45,3829,14-04-2020,,fedex,Delivered
46,7618,27-09-2022,,fedex,Delivered
47,12556,12-04-2021,,fedex,Delivered
48,1705,20-04-2020,,fedex,Delivered
49,1859,29-12-2021,,fedex,Delivered
50,7404,10-11-2021,,fedex,Delivered
51,13507,05-11-2021,,fedex,Delivered
52,12246,20-01-2024,,fedex,Delivered
53,14153,21-11-2023,,fedex,Delivered
54,5821,12-12-2022,,fedex,Delivered
55,19759,11-12-2022,,fedex,Delivered
56,11104,27-04-2022,,fedex,Delivered
57,6785,22-05-2023,,fedex,Delivered
58,10564,22-05-2023,,fedex,Delivered
59,6289,17-05-2020,,fedex,Delivered
60,2909,31-08-2023,,fedex,Delivered
61,7174,15-01-2023,,fedex,Delivered
62,1367,08-01-2022,,fedex,Delivered
63,729,03-04-2021,,fedex,Delivered
64,9636,05-12-2020,,fedex,Delivered
65,10662,12-06-2020,,fedex,Delivered
66,12024,11-06-2020,,fedex,Delivered
67,3939,17-11-2022,,fedex,Delivered
68,3645,03-05-2022,,fedex,Delivered
69,8474,04-11-2021,,fedex,Delivered
70,13075,18-08-2020,,fedex,Delivered
71,9074,19-10-2022,,fedex,Delivered
72,11204,05-04-2022,,fedex,Delivered
73,9488,02-11-2020,,fedex,Delivered
74,16046,18-01-2020,,fedex,Delivered
75,6633,04-10-2023,,fedex,Delivered
76,8038,15-05-2020,,fedex,Delivered
77,8964,30-06-2023,,fedex,Delivered
78,13205,03-03-2020,,fedex,Delivered
79,12634,08-01-2024,,fedex,Delivered
80,5007,23-01-2024,,fedex,Delivered
81,7220,22-11-2023,,fedex,Delivered
82,489,01-11-2022,,fedex,Delivered
83,14679,24-08-2022,,fedex,Delivered
84,2709,06-05-2022,,fedex,Delivered
85,19599,24-04-2022,,fedex,Delivered
86,17140,23-08-2023,,fedex,Delivered
87,2601,19-06-2023,,fedex,Delivered
88,4205,19-02-2023,,fedex,Delivered
89,15928,23-05-2022,,fedex,Delivered
90,4449,23-04-2022,,fedex,Delivered
91,3361,07-07-2022,,fedex,Delivered
92,4875,30-11-2021,,fedex,Delivered
93,5535,04-10-2021,,fedex,Delivered
94,3323,30-01-2024,,fedex,Delivered
95,5837,26-10-2023,,fedex,Delivered
96,18949,12-01-2021,,fedex,Delivered
97,5957,15-10-2020,,fedex,Delivered
98,9442,18-05-2020,,fedex,Delivered
99,18433,06-09-2023,,fedex,Delivered
100,7248,02-04-2023,,fedex,Delivered
101,11046,19-12-2022,,fedex,Delivered
102,1347,03-08-2023,,fedex,Delivered
103,18357,09-05-2023,,fedex,Delivered
104,13745,04-02-2020,,fedex,Delivered
105,8628,17-11-2023,,fedex,Delivered
106,15025,04-10-2022,,fedex,Delivered
107,4761,27-04-2023,,fedex,Delivered
108,3309,07-10-2021,,fedex,Delivered
109,12174,18-01-2020,,fedex,Delivered
110,15187,12-01-2020,,fedex,Delivered
111,87,19-10-2023,,fedex,Delivered
112,14627,18-07-2023,,fedex,Delivered
113,14527,04-09-2022,,fedex,Delivered
114,8382,30-09-2021,,fedex,Delivered
115,13217,27-12-2020,,fedex,Delivered
116,15625,20-08-2020,,fedex,Delivered
117,17556,24-06-2020,,fedex,Delivered
118,1095,05-01-2020,,fedex,Delivered
119,13717,22-06-2023,,fedex,Delivered
120,521,26-04-2022,,fedex,Delivered
121,19929,15-02-2022,,fedex,Delivered
122,10582,12-10-2021,,fedex,Delivered
123,16242,27-02-2020,,fedex,Delivered
124,15724,11-09-2022,,fedex,Delivered
125,8720,20-06-2020,,fedex,Delivered
126,16628,24-01-2024,,fedex,Delivered
127,6323,19-01-2023,,fedex,Delivered
128,109,08-01-2024,,fedex,Delivered
129,3049,27-01-2021,,fedex,Delivered
130,15814,28-01-2021,,fedex,Delivered
131,14319,08-09-2020,,fedex,Delivered
132,15716,23-08-2020,,fedex,Delivered
133,18913,21-02-2023,,fedex,Delivered
134,3671,06-05-2022,,fedex,Delivered
135,17086,05-10-2023,,fedex,Delivered
136,12876,10-07-2022,,fedex,Delivered
137,2379,16-03-2020,,fedex,Delivered
138,14965,21-01-2023,,fedex,Delivered
139,1733,09-01-2023,,fedex,Delivered
140,17106,01-05-2021,,fedex,Delivered
141,10428,17-07-2020,,fedex,Delivered
142,12844,24-06-2023,,fedex,Delivered
143,11418,04-12-2021,,fedex,Delivered
144,7132,05-10-2023,,fedex,Delivered
145,9728,17-07-2023,,fedex,Delivered
146,8736,06-03-2022,,fedex,Delivered
147,17699,21-12-2020,,fedex,Delivered
148,527,05-01-2024,,fedex,Delivered
149,11588,01-08-2023,,fedex,Delivered
150,17877,24-12-2022,,fedex,Delivered
151,1109,06-10-2022,,fedex,Delivered
152,17400,22-09-2020,,fedex,Delivered
